timestamp [s],position_lat [degrees],position_long [degrees],distance [m],enhanced_speed [m/s],enhanced_altitude [m],heart_rate [bpm],cadence [rpm],temperature [C],fractional_cadence [rpm]
1051,55.76613829471171,12.559176245704293,2795.47,2.939,22.0,174,81,21,0.0
1057,55.765966633334756,12.559157134965062,2811.52,2.939,22.2,173,82,21,0.0
1065,55.76578667387366,12.559131737798452,2831.67,2.921,22.4,174,82,21,0.0
1068,55.765717355534434,12.559126876294613,2839.4,2.902,22.4,174,81,21,0.0
1076,55.76553102582693,12.559107095003128,2860.28,2.874,22.0,173,81,22,0.0
1078,55.76548995450139,12.559098126366735,2864.89,2.865,22.0,173,80,21,0.0
1086,55.76529365032911,12.559073902666569,2886.82,2.837,20.8,174,81,22,0.0
1090,55.76519960537553,12.55906761623919,2897.3,2.827,20.8,173,80,22,0.0
1098,55.76499986462295,12.559047918766737,2919.6,2.809,20.6,172,81,22,0.0
1100,55.764952171593904,12.55904314108193,2924.91,2.799,20.4,172,81,22,0.0
1108,55.7647520955652,12.55901975557208,2947.24,2.781,19.8,173,81,22,0.0
1110,55.764700546860695,12.55901045165956,2953.02,2.781,19.8,173,81,22,0.0
1117,55.7645174022764,12.558975080028176,2973.54,2.781,19.2,172,81,22,0.0
1120,55.76443701982498,12.558960998430848,2982.52,2.79,18.8,171,81,22,0.0
1126,55.76427910476923,12.558945827186108,3000.12,2.799,18.2,169,82,22,0.0
1128,55.7642219401896,12.558946665376425,3006.47,2.799,18.2,169,82,22,0.0
1134,55.76408179476857,12.558938954025507,3022.07,2.799,17.6,169,82,22,0.0
1139,55.763949025422335,12.558928979560733,3036.87,2.79,17.4,168,82,22,0.0
1146,55.76377191580832,12.558913892135024,3056.6,2.799,17.6,170,82,22,0.0
1149,55.76371567323804,12.558909198269248,3062.86,2.799,17.6,171,82,22,0.0
1156,55.76351492665708,12.558875335380435,3085.32,2.799,17.4,172,82,22,0.0
1161,55.76338634826243,12.558855805546045,3099.67,2.809,17.0,172,81,22,0.0
1169,55.763188786804676,12.558840215206146,3121.71,2.809,16.8,173,81,22,0.0
1171,55.76313723810017,12.558833342045546,3127.45,2.809,16.8,174,81,22,0.0
1179,55.76293590478599,12.558801406994462,3149.96,2.809,17.0,172,81,22,0.0
1181,55.762884858995676,12.55879352800548,3155.68,2.809,17.0,171,81,22,0.0
1189,55.76268729753792,12.55876561626792,3177.75,2.827,17.0,172,80,22,0.5
1190,55.76266760006547,12.55876955576241,3179.95,2.827,16.8,172,79,22,0.5
1198,55.76247917488217,12.558748265728354,3201.0,2.809,16.8,173,81,22,0.0
1199,55.76245495118201,12.558747511357069,3203.68,2.799,16.6,173,81,22,0.0
1200,55.76242963783443,12.558744493871927,3206.49,2.799,16.6,173,81,22,0.0
1207,55.7622445654124,12.558725383132696,3227.16,2.771,16.4,173,81,22,0.0
1210,55.76216141693294,12.558709038421512,3236.48,2.771,16.2,174,81,22,0.0
1218,55.761960837990046,12.558695040643215,3258.82,2.781,17.6,177,82,22,0.0
1220,55.76191113330424,12.55868841893971,3264.36,2.771,17.6,177,82,22,0.0
1222,55.7618579082191,12.558678528293967,3270.41,2.771,17.4,177,80,23,0.5
1226,55.7617561519146,12.558641312643886,3282.0,2.762,17.6,174,80,22,0.0
1233,55.76156705617905,12.558635026216507,3303.0,2.771,17.6,174,82,23,0.0
1237,55.76143437065184,12.558603174984455,3317.93,2.799,17.6,174,80,23,0.0
1245,55.761239575222135,12.558597475290298,3339.58,2.837,17.2,174,82,23,0.0
1250,55.76112206093967,12.558621866628528,3352.79,2.837,17.2,173,82,23,0.5
1258,55.76093698851764,12.558612478896976,3373.37,2.818,16.8,173,82,23,0.0
